row_number,trigger_phrase,suggested_status,when_not_to_use,correction_source
2,dialer issue but customer reached,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
3,speaking with someone else,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
4,wants to proceed but later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
5,asked me to call him back,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
6,need time to gather money,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
7,wants to proceed tomorrow,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
8,email sent and follow up,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
9,help me person to person,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
10,guided him then hung up,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
11,hang up without refusal,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
12,call tomorrow morning,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
13,help to open platform,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
14,interested but later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
15,platform not opening,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
16,did not receive sms,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
17,sent him email then,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
18,website not opening,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
19,asked for callback,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
20,call me in an hour,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
21,daughter will help,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
22,deposit page issue,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
23,email did not work,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
24,call me next week,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
25,callback tomorrow,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
26,come online later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
27,link did not work,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
28,trying to arrange,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
29,asked for a call,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
