row_number,action,trigger_phrase,suggested_status,active,keyword_group,first_status,repeat_status,repeat_logic,when_not_to_use,note
290,UPDATE,no documents or bank account,No Potential,True,documents,No Potential - no documents,No Potential - no documents,direct_final,[skip:soft_money_plan] If documents promised with concrete callback → Call Again. Do NOT map docs/bank missing to Invalid Country.,was Invalid Country; docs barrier is NP no docs
702,ADD,doesnt have por,No Potential,True,documents,No Potential - no documents,No Potential - no documents,direct_final,[skip:soft_money_plan] Soft money with near funding plan without docs barrier elsewhere → Call Again only if docs are OK,GCC/desk: missing POR / proof of residence / documents
703,ADD,doesn't have por,No Potential,True,documents,No Potential - no documents,No Potential - no documents,direct_final,[skip:soft_money_plan] Soft money with near funding plan without docs barrier elsewhere → Call Again only if docs are OK,GCC/desk: missing POR / proof of residence / documents
704,ADD,dont have por,No Potential,True,documents,No Potential - no documents,No Potential - no documents,direct_final,[skip:soft_money_plan] Soft money with near funding plan without docs barrier elsewhere → Call Again only if docs are OK,GCC/desk: missing POR / proof of residence / documents
705,ADD,no proof of residence,No Potential,True,documents,No Potential - no documents,No Potential - no documents,direct_final,[skip:soft_money_plan] Soft money with near funding plan without docs barrier elsewhere → Call Again only if docs are OK,GCC/desk: missing POR / proof of residence / documents
706,ADD,urdu speaker,Call Again,True,language_transfer,Call Again,Call Again,direct_final,[skip:identity_denial][skip:refusal] If identity denial → Denied Registration. If day-1 not interested / not into this → Recall. If language desk unavailable → No Language.,Client needs Urdu/Hindi/Indian desk and we have speakers → transfer Call Again (
707,ADD,hindi speaker,Call Again,True,language_transfer,Call Again,Call Again,direct_final,[skip:identity_denial][skip:refusal] If identity denial → Denied Registration. If day-1 not interested / not into this → Recall. If language desk unavailable → No Language.,Client needs Urdu/Hindi/Indian desk and we have speakers → transfer Call Again (
708,ADD,indian speaker,Call Again,True,language_transfer,Call Again,Call Again,direct_final,[skip:identity_denial][skip:refusal] If identity denial → Denied Registration. If day-1 not interested / not into this → Recall. If language desk unavailable → No Language.,Client needs Urdu/Hindi/Indian desk and we have speakers → transfer Call Again (
709,ADD,speaks urdu,Call Again,True,language_transfer,Call Again,Call Again,direct_final,[skip:identity_denial][skip:refusal] If identity denial → Denied Registration. If day-1 not interested / not into this → Recall. If language desk unavailable → No Language.,Client needs Urdu/Hindi/Indian desk and we have speakers → transfer Call Again (
710,ADD,speaks hindi,Call Again,True,language_transfer,Call Again,Call Again,direct_final,[skip:identity_denial][skip:refusal] If identity denial → Denied Registration. If day-1 not interested / not into this → Recall. If language desk unavailable → No Language.,Client needs Urdu/Hindi/Indian desk and we have speakers → transfer Call Again (
711,ADD,signed up by mistake,Recall,True,registration,Recall,No Interest,different_day_repeat,Identity denial (not me / wrong person) → Denied Registration. Second distinct refusal day → No Interest. Beats older call-me-later keep.,Customer says registration/signup was a mistake (day-1 soft refusal)
464,UPDATE,does not speak english and hindi,No Language,True,language,No Language,No Language,direct_final,"[skip:language_transfer][skip:identity_denial] Urdu/Hindi/Indian/Arabic desk available → Call Again (transfer). Identity denial → Denied Registration. ""how do u speak hindi?"" about agent is NOT a barrier.",clarify hindi/urdu desk transfer
465,UPDATE,doesnt speak english and hindi,No Language,True,language,No Language,No Language,direct_final,"[skip:language_transfer][skip:identity_denial] Urdu/Hindi/Indian/Arabic desk available → Call Again (transfer). Identity denial → Denied Registration. ""how do u speak hindi?"" about agent is NOT a barrier.",clarify hindi/urdu desk transfer
468,UPDATE,no english no hindi,No Language,True,language,No Language,No Language,direct_final,"[skip:language_transfer][skip:identity_denial] Urdu/Hindi/Indian/Arabic desk available → Call Again (transfer). Identity denial → Denied Registration. ""how do u speak hindi?"" about agent is NOT a barrier.",clarify hindi/urdu desk transfer
477,UPDATE,not understanding hindi,No Language,True,language,No Language,No Language,direct_final,"[skip:language_transfer][skip:identity_denial] Urdu/Hindi/Indian/Arabic desk available → Call Again (transfer). Identity denial → Denied Registration. ""how do u speak hindi?"" about agent is NOT a barrier.",clarify hindi/urdu desk transfer
653,UPDATE,saw scam website,Recall,True,ai_generated,Recall,No Interest,different_day_repeat,First soft scam suspicion alone → Recall. Bad words/abuse + scam scam / hard scam accuse → No Interest even day 1. Second refusal day → No Interest. Later concrete customer callback with no refuse → Call Again.,curse+scam day1 NI
641,UPDATE,i don't have money,Recall,True,ai_generated,Recall,No Interest,different_day_repeat,"Hard cannot afford / no income / distant / vague ""after I find money"" without near date → No Potential. Near funding plan (salary / 1st / evening / tmw call) or customer callback → Call Again. Soft first objection without plan → Recall.",vague find money = NP
